GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
116,942,34,-27.42721259,153.1541202
116,941,34,-27.42702019,153.1542673
116,940,34,-27.4268499,153.154397
115,940,34,-27.42667195,153.154532
115,939,34,-27.42647951,153.1546774
115,943,34,-27.42631029,153.1548048
115,942,34,-27.42612694,153.1549423
115,941,33,-27.42594223,153.1550803
114,941,33,-27.42577079,153.1552079
114,944,33,-27.42559382,153.1553391
114,944,33,-27.42540428,153.1554791
113,948,33,-27.42522063,153.1556142
113,952,33,-27.42504948,153.1557398
113,952,33,-27.42486909,153.1558718
112,955,33,-27.42469248,153.1560008
112,959,33,-27.42452502,153.1561228
112,959,33,-27.42433556,153.1562607
112,962,33,-27.42416605,153.1563838
111,962,33,-27.42398032,153.1565185
111,965,33,-27.42381414,153.1566389
111,965,33,-27.42364064,153.1567646
111,968,33,-27.42346841,153.1568892
110,968,33,-27.42328161,153.1570244
110,968,33,-27.42310801,153.15715
110,971,33,-27.42293762,153.1572731
110,971,33,-27.42275178,153.1574074
110,971,33,-27.42258531,153.1575276
109,975,33,-27.42241932,153.1576474
109,974,33,-27.42224687,153.157772
109,978,33,-27.42206999,153.1578997
108,980,33,-27.42190063,153.1580219
108,979,33,-27.42173211,153.1581435
108,979,32,-27.42156125,153.1582666
108,979,32,-27.42139352,153.1583875
108,978,32,-27.4212253,153.1585087
108,978,32,-27.42105503,153.1586312
108,978,32,-27.42088609,153.1587527
108,978,32,-27.42070348,153.158884
108,974,32,-27.42053615,153.1590041
108,974,32,-27.4203669,153.1591256
108,974,32,-27.42019505,153.1592487
108,971,32,-27.42002678,153.1593692
108,968,32,-27.41984347,153.1595003
109,968,32,-27.41967314,153.1596219
109,965,32,-27.41950113,153.1597446
109,965,32,-27.41933416,153.1598635
109,961,32,-27.41914965,153.1599948
109,961,32,-27.41899259,153.1601063
109,958,32,-27.41880752,153.1602376
109,958,32,-27.41863868,153.1603572
109,955,32,-27.41846689,153.1604786
109,951,32,-27.41827855,153.1606116
110,951,32,-27.41810644,153.1607328
110,946,32,-27.4179278,153.1608585
110,946,32,-27.41775461,153.16098
109,946,32,-27.41759015,153.1610953
109,946,32,-27.41740712,153.1612232
109,946,32,-27.41723094,153.1613461
109,946,32,-27.41705775,153.1614667
109,947,32,-27.41689502,153.1615798
109,947,32,-27.4167133,153.1617057
